,id,title,genres
178,9070,Mighty Morphin Power Rangers: The Movie,"action, adventure, science fiction, family, fantasy"
179,68274,Moonlight and Valentino,"comedy, drama, romance"
180,48787,Mute Witness,"thriller, foreign"
181,34574,Nadja,"horror, thriller"
182,1642,The Net,"crime, drama, mystery, thriller, action"
183,11472,Nine Months,comedy
184,36196,Party Girl,comedy
185,11980,The Prophecy,"fantasy, horror, thriller"
186,58372,Reckless,"fantasy, comedy, drama"
187,32646,Safe,drama
188,10533,The Scarlet Letter,"drama, history, romance"
189,56088,The Show,documentary
190,10802,Showgirls,drama
191,10149,Smoke,"comedy, drama"
192,18402,Something to Talk About,comedy
193,9348,Species,"science fiction, horror, action"
194,139408,The Stars Fell on Henrietta,drama
195,281,Strange Days,"crime, drama, science fiction, thriller"
196,5967,The Umbrellas of Cherbourg,"drama, romance"
197,79593,The Tie That Binds,thriller
198,47939,Three Wishes,"drama, fantasy"
199,36834,Total Eclipse,"drama, romance"
200,9090,"To Wong Foo, Thanks for Everything! Julie Newmar",comedy
201,3512,Under Siege 2: Dark Territory,"action, thriller"
202,52856,Unstrung Heroes,"comedy, drama, family"
203,77350,Unzipped,documentary
204,9560,A Walk in the Clouds,"drama, romance"
205,9804,Waterworld,"adventure, action"
206,31611,White Man's Burden,drama
207,65796,Wild Bill,"action, western"
208,49805,The Browning Version,drama
209,26258,Bushwhacked,"adventure, action, comedy, crime, family"
210,50797,Burnt by the Sun,drama
211,19155,Before the Rain,"drama, war"
212,76,Before Sunrise,"drama, romance"
213,11017,Billy Madison,comedy
214,37141,The Babysitter,"drama, thriller"
215,9382,Boys on the Side,"comedy, drama"
216,6715,The Cure,"drama, family"
217,18256,Castle Freak,"thriller, drama, horror, mystery"
218,22625,Circle of Friends,"drama, family, romance"
219,2292,Clerks,comedy
220,1909,Don Juan DeMarco,"romance, drama, comedy"
221,8984,Disclosure,"drama, thriller, crime, mystery, romance"
222,61813,Dream Man,thriller
223,4954,Drop Zone,"action, adventure, thriller"
224,62488,Destiny Turns on the Radio,"crime, comedy, fantasy"
225,10531,Death and the Maiden,"drama, thriller, mystery"
226,11929,Dolores Claiborne,"crime, drama, mystery"
227,8467,Dumb and Dumber,comedy
228,10451,Eat Drink Man Woman,"comedy, drama, romance"
229,20156,Exotica,"drama, mystery"
230,18395,Exit to Eden,"thriller, comedy, crime, romance"
231,522,Ed Wood,"comedy, drama, history"
232,397,French Kiss,"comedy, romance"
233,10525,Forget Paris,"comedy, drama, romance"
234,27985,Far from Home: The Adventures of Yellow Dog,"action, adventure, drama, family"
235,15789,A Goofy Movie,"romance, animation, family, comedy, adventure"
236,27303,Hideaway,"drama, thriller"
237,21183,Fluke,"drama, family, fantasy"
238,10954,Farinelli,"history, drama"
239,47867,Gordy,"drama, family, fantasy"
240,43475,Gumby: The Movie,"fantasy, animation, science fiction, family"
241,72031,The Glass Shield,"drama, action, thriller, crime"
242,14275,Hoop Dreams,documentary
243,1024,Heavenly Creatures,"drama, fantasy"
244,17207,Houseguest,"comedy, family"
245,13701,Immortal Beloved,"drama, music, romance"
246,14819,Heavyweights,"comedy, family, drama"
247,32631,The Hunted,"action, thriller"
248,11777,I.Q.,"comedy, drama, romance"
249,628,Interview with the Vampire,"horror, romance"
250,87729,Jefferson in Paris,"drama, romance"
251,18713,The Jerky Boys,"comedy, crime"
252,6280,Junior,"comedy, family, romance"
253,9061,Just Cause,"action, drama, mystery, thriller"
254,37108,A Kid in King Arthur's Court,"adventure, fantasy, comedy, science fiction, family"
255,6071,Kiss of Death,"action, crime, drama, thriller"
256,11,Star Wars,"adventure, action, science fiction"
257,9587,Little Women,"drama, romance"
258,19101,A Little Princess,"drama, family, fantasy"
259,49980,Ladybird Ladybird,drama
260,17961,L'Enfer,"crime, drama"
261,18183,Like Water for Chocolate,"drama, romance"
262,4476,Legends of the Fall,"adventure, drama, romance, war"
263,11008,Major Payne,"adventure, comedy, family"
264,47504,Little Odessa,"action, drama"
265,32325,Mi Vida Loca,"crime, drama"
266,43742,Love Affair,"drama, romance"
267,28313,Losing Isaiah,drama
268,11318,The Madness of King George,"comedy, drama, history"
269,3036,Mary Shelley's Frankenstein,"drama, horror, science fiction, romance"
270,40490,Man of the House,"action, comedy, family"
271,24070,Mixed Nuts,"comedy, drama, romance"
272,8986,Milk Money,"comedy, romance"
273,10510,Miracle on 34th Street,"fantasy, drama, family"
274,17402,Miami Rhapsody,"comedy, romance"
275,38722,My Family,"comedy, drama"
276,8438,Murder in the First,"crime, drama"
277,11593,Nobody's Fool,"drama, comedy"
278,1945,Nell,"drama, thriller"
279,39310,New Jersey Drive,"crime, drama"
280,109560,New York Cop,"action, thriller, crime, drama"
281,56428,Beyond Bedlam,horror
282,63105,Nemesis 2 - Nebula,"science fiction, action, thriller"
283,131957,Nina Takes a Lover,"drama, romance"
284,241,Natural Born Killers,"crime, thriller, drama"
285,9058,Only You,"comedy, drama, romance"
286,527,Once Were Warriors,drama
287,18220,Poison Ivy II: Lily,"drama, romance, thriller"
288,6950,Outbreak,"action, drama, science fiction, thriller"
289,101,Leon: The Professional,"thriller, crime, drama"
290,63020,The Perez Family,"comedy, drama, romance"
291,2307,A Pyromaniac's Love Story,"comedy, drama, romance"
292,680,Pulp Fiction,"thriller, crime"
293,41478,Panther,drama
294,25296,Pushing Hands,"comedy, drama"
295,40156,Priest,"drama, romance"
296,11450,Quiz Show,"history, drama"
297,30304,Picture Bride,"drama, history"
298,10452,Queen Margot,"drama, history"
299,12106,The Quick and the Dead,"action, western"
300,161495,Roommates,"drama, comedy"
301,3586,Prêt-à-Porter,"drama, comedy"
302,110,Three Colors: Red,"drama, mystery, romance"
303,108,Three Colors: Blue,"drama, music, mystery"
304,109,Three Colors: White,"comedy, drama, mystery"
305,159185,"Red Firecracker, Green Firecracker",drama
306,36357,Rent-a-Kid,"comedy, family, tv movie"
307,92769,Relative Fear,"horror, drama"
308,28033,Stuart Saves His Family,"comedy, drama"
309,22586,The Swan Princess,animation
310,14334,The Secret of Roan Inish,"drama, family, fantasy"
311,2636,The Specialist,"action, thriller"
312,2164,Stargate,"action, adventure, science fiction"
313,11395,The Santa Clause,"fantasy, drama, comedy, family"
314,278,The Shawshank Redemption,"drama, crime"
315,9905,Shallow Grave,"crime, thriller"
316,87078,Suture,"drama, thriller"
317,12527,Strawberry and Chocolate,"comedy, drama"
318,20306,Swimming with Sharks,"crime, comedy"
319,36614,The Sum of Us,"comedy, drama, romance"
320,27993,Senior Trip,comedy
321,31439,To Live,"drama, romance, war"
322,9067,Tank Girl,"action, comedy, fantasy, science fiction"
323,9059,Tales from the Crypt: Demon Knight,"horror, comedy, thriller"
324,193,Star Trek: Generations,"science fiction, action, adventure, thriller"
325,25066,Tales from the Hood,"crime, horror, thriller"
326,46797,Tom & Viv,"drama, romance"
327,12122,Village of the Damned,"thriller, horror, science fiction"
328,11381,Tommy Boy,comedy
329,32636,Vanya on 42nd Street,"drama, romance"
330,36141,The Underneath,"thriller, crime"
331,95963,The Walking Dead,"drama, war"
332,1587,What's Eating Gilbert Grape,"romance, drama"
333,9271,Virtuosity,"action, crime, science fiction, thriller"
334,2064,While You Were Sleeping,"comedy, drama, romance"
335,19855,The War,drama
336,60855,Double Happiness,"comedy, romance"
337,236,Muriel's Wedding,"drama, comedy, romance"
338,48287,The Baby-Sitters Club,"comedy, drama, family"
339,3049,Ace Ventura: Pet Detective,"comedy, mystery"
340,2759,"The Adventures of Priscilla, Queen of the Desert","drama, comedy"
341,12635,Backbeat,"drama, music"
342,10497,Bitter Moon,"thriller, drama, romance"
343,11382,Bullets Over Broadway,"action, comedy, thriller"
344,9331,Clear and Present Danger,"action, drama, thriller"
345,10731,The Client,"drama, thriller, crime, mystery"
346,10464,"Corrina, Corrina","comedy, drama, family, romance"
347,34152,Crooklyn,"comedy, drama"
348,9495,The Crow,"fantasy, action, thriller"
349,29973,Cobb,drama
350,888,The Flintstones,"fantasy, comedy, family"
351,13,Forrest Gump,"comedy, drama, romance"
352,712,Four Weddings and a Funeral,"comedy, drama, romance"
353,16295,Higher Learning,"romance, drama, crime"
354,48992,I Like It Like That,"comedy, drama, romance"
355,10879,I Love Trouble,"action, comedy, romance"
356,10660,It Could Happen to You,"comedy, drama, romance"
357,10714,The Jungle Book,"adventure, drama, family"
358,41647,"The Wonderful, Horrible Life of Leni Riefenstahl","documentary, foreign"
359,8587,The Lion King,"family, animation, drama"
360,1689,Little Buddha,"drama, history"
361,11596,New Nightmare,"horror, thriller, mystery, fantasy"
362,854,The Mask,"romance, comedy, crime, fantasy"
363,9359,Maverick,"action, adventure, comedy, drama, western"
364,23333,Mrs. Parker and the Vicious Circle,drama
365,36593,The Naked Gun 33⅓: The Final Insult,"comedy, crime"
366,12280,The Paper,"comedy, drama"
367,2788,Reality Bites,drama
368,10427,Red Rock West,"crime, drama, thriller"
369,11011,Ri¢hie Ri¢h,"comedy, family"
370,49803,Safe Passage,drama
371,8987,The River Wild,"action, adventure, crime, thriller"
372,1637,Speed,"action, adventure, crime"
373,15128,Speechless,"comedy, romance"
374,8831,Timecop,"thriller, science fiction, action, crime"
375,36955,True Lies,"action, thriller"
376,10449,When a Man Loves a Woman,"drama, romance"
377,10395,Wolf,fantasy
378,12160,Wyatt Earp,"drama, action, western"
379,40480,Bad Company,"action, crime, romance, thriller"
380,52038,A Man of No Importance,"comedy, drama"
381,29444,S.F.W.,"comedy, drama"
382,26352,A Low Down Dirty Shame,"action, comedy, crime"
383,39953,"Boys Life: Three Stories of Love, Lust, and Liberation",drama
384,41580,Colonel Chabert,drama
385,315,"Faster, Pussycat! Kill! Kill!","action, crime"
386,22067,Jason's Lyric,"crime, drama, romance"
387,18242,The Secret Adventures of Tom Thumb,"animation, science fiction"
388,11667,Street Fighter,"action, adventure, thriller"
389,32502,Coldblooded,"action, comedy"
390,267188,Desert Winds,
391,28732,Fall Time,"action, adventure, crime, drama, thriller"
392,75555,The Fear,"horror, thriller"
393,42981,Frank and Ollie,documentary
394,278939,Girl in the Cadillac,"romance, adventure, crime, drama"
395,291731,Homage,"thriller, drama"
396,226229,Mirage,"action, thriller"
397,203119,Open Season,comedy
398,172923,Dos Crímenes,
399,316098,Brother Minister: The Assassination of Malcolm X,documentary
400,8011,Highlander: The Final Dimension,"action, fantasy, science fiction"
401,171857,Federal Hill,
402,2654,In the Mouth of Madness,"horror, mystery, thriller"
403,18069,8 Seconds,"drama, romance"
404,19092,Above the Rim,"crime, drama"
405,2758,Addams Family Values,"comedy, family, fantasy"
406,38129,Martin Lawrence: You So Crazy,comedy
407,10436,The Age of Innocence,"drama, romance"
408,13595,Airheads,"comedy, crime, music"
409,46094,The Air Up There,"comedy, family"
410,9409,Another Stakeout,"action, comedy"
411,11853,Bad Girls,"action, adventure, comedy, drama, western"
412,16771,Barcelona,"comedy, drama, romance"
413,46924,Being Human,"drama, comedy, fantasy"
414,11041,The Beverly Hillbillies,comedy
415,306,Beverly Hills Cop III,"action, comedy, crime"
416,14522,Black Beauty,"action, adventure, drama, family"
417,26203,Blink,"mystery, crime, drama, thriller"
418,178,Blown Away,"drama, action, thriller"
419,19819,Blue Chips,drama
420,57834,Blue Sky,"drama, romance"
421,4722,Body Snatchers,"horror, science fiction, thriller"
422,18215,Boxing Helena,"drama, romance"
423,1607,A Bronx Tale,"drama, crime"
424,26391,Cabin Boy,comedy
425,117553,Calendar Girl,"drama, comedy"
426,6075,Carlito's Way,"action, crime, drama, thriller"
427,11310,City Slickers II: The Legend of Curly's Gold,"action, comedy, drama, western"
428,18658,Clean Slate,"comedy, thriller, mystery"
429,9350,Cliffhanger,"action, adventure, thriller"
430,9612,Coneheads,"comedy, science fiction, family"
431,2124,Color of Night,"drama, mystery, romance, thriller"
432,26261,Cops & Robbersons,"action, comedy, family"
433,19176,The Cowboy Way,"western, action, comedy"
434,49299,Dangerous Game,drama
435,11566,Dave,comedy
436,9571,Dazed and Confused,"comedy, drama"
437,9739,Demolition Man,"crime, action, science fiction"
438,24257,The Endless Summer 2,documentary
439,34444,Even Cowgirls Get the Blues,"western, drama, comedy, romance"
440,26141,Fatal Instinct,comedy
441,10997,Farewell My Concubine,drama
442,50463,The Favor,"drama, comedy, romance"
443,10443,Fearless,drama
444,20239,Fear of a Black Hat,comedy
445,16297,With Honors,"comedy, drama"
446,18551,Flesh and Bone,"drama, mystery, romance"
447,25440,Widows' Peak,"comedy, thriller, mystery, romance, foreign"
448,9024,For Love or Money,"comedy, romance"
449,37233,The Firm,"drama, mystery, thriller"
450,1634,Free Willy,"family, adventure"
451,13815,Fresh,"crime, drama, thriller"
452,5503,The Fugitive,"adventure, action, thriller, crime, mystery"
453,35588,Geronimo: An American Legend,"history, action, drama, western"
454,2087,The Getaway,"drama, action, thriller"
455,41579,Getting Even with Dad,"family, comedy, crime"
456,18620,Go Fish,"drama, romance"
457,41006,A Good Man in Africa,"comedy, drama"
458,4916,Guilty as Sin,"drama, thriller"
459,2019,Hard Target,"action, adventure, crime, thriller"
460,31642,Heaven & Earth,"history, war, action, drama"
461,9255,Hot Shots! Part Deux,"action, comedy, war"
462,26271,Live Nude Girls,comedy
463,10612,The Englishman Who Went Up a Hill But Came Down a Mountain,"drama, comedy, romance"
464,2259,The House of the Spirits,"romance, drama"
465,16097,House Party 3,comedy
466,11934,The Hudsucker Proxy,"comedy, drama"
467,106143,I'll Do Anything,"comedy, drama"
468,12475,In the Army Now,comedy
469,9386,In the Line of Fire,"action, drama, thriller, crime, mystery"
470,7984,In the Name of the Father,drama
471,59930,The Inkwell,"comedy, drama, romance"
472,15765,What's Love Got to Do with It,"drama, music"
473,31643,Jimmy Hollywood,comedy
474,6,Judgment Night,"action, thriller, crime"
475,329,Jurassic Park,"adventure, science fiction"
476,10909,Kalifornia,"thriller, crime"
477,507,Killing Zoe,"action, crime, drama, thriller"
478,34024,King of the Hill,drama
479,29918,Lassie,"action, adventure, drama, family"
480,9593,Last Action Hero,"adventure, fantasy, action, comedy, family"
481,42580,Life With Mikey,"comedy, family"
482,22317,Lightning Jack,"action, comedy, western"
483,1413,M. Butterfly,"drama, romance"
484,12121,Made in America,comedy
485,2246,Malice,"drama, crime"
486,10502,The Man without a Face,drama
487,10440,Manhattan Murder Mystery,"comedy, mystery"
488,9516,Menace II Society,"drama, action, crime"
489,2320,Executive Decision,"action, adventure, drama, thriller"
490,5879,In the Realm of the Senses,"drama, romance"
491,83718,What Happened Was...,"thriller, comedy, drama, romance"
492,11971,Much Ado About Nothing,"drama, comedy, romance"
493,2625,Mr. Jones,"drama, romance"
494,31911,Mr. Wonderful,"comedy, romance"
495,788,Mrs. Doubtfire,"comedy, drama, family"
496,21450,Naked,"comedy, drama"
497,11231,The Next Karate Kid,adventure
498,41588,The New Age,"comedy, drama"
499,10447,No Escape,"action, drama, science fiction, thriller"
500,31586,North,"comedy, drama, family, fantasy, science fiction"
501,9300,Orlando,"romance, drama, fantasy"
502,9559,A Perfect World,"crime, drama, thriller"
503,9800,Philadelphia,drama
504,713,The Piano,"drama, romance"
505,8291,Poetic Justice,"drama, romance"
506,18133,The Program,drama
507,25557,The Puppet Masters,"horror, science fiction, thriller"
508,22588,Radioland Murders,"comedy, crime, drama, music, mystery, romance"
509,10872,The Ref,comedy
510,1245,The Remains of the Day,"drama, romance"
511,11858,Renaissance Man,"comedy, war"
512,7007,Rising Sun,"action, drama, thriller"
513,10467,The Road to Wellville,"comedy, romance"
514,5550,RoboCop 3,"action, adventure, crime, science fiction, thriller"
515,8005,Robin Hood: Men in Tights,comedy
516,2088,Romeo Is Bleeding,"action, crime, drama, thriller"
517,10412,Romper Stomper,"action, drama, thriller"
518,47889,Ruby in Paradise,"drama, romance"
519,14534,Rudy,drama
520,56583,The Saint of Fort Washington,drama
521,41878,Savage Nights,drama
522,424,Schindler's List,"drama, history, war"
523,35233,The Scout,"comedy, drama"
524,14291,Searching for Bobby Fischer,drama
525,103413,Second Best,drama
526,11236,The Secret Garden,"drama, family, fantasy"
527,11592,Serial Mom,"comedy, crime, horror, thriller"
528,8850,The Shadow,"adventure, fantasy, action, thriller, science fiction"
529,10445,Shadowlands,"drama, romance"
530,695,Short Cuts,"comedy, drama"
531,43535,A Simple Twist of Fate,"drama, family"
532,12519,Sirens,"comedy, drama"
533,23210,Six Degrees of Separation,"mystery, drama, comedy"
534,858,Sleepless in Seattle,"comedy, drama, romance"
535,867,Sliver,"drama, thriller"
536,78,Blade Runner,"science fiction, drama, thriller"
537,13203,Son in Law,"comedy, drama, romance"
538,10442,So I Married an Axe Murderer,"comedy, crime, romance"
539,11074,Striking Distance,"crime, action, mystery, thriller"
540,33367,Harem,"history, drama, romance"
541,9607,Super Mario Bros.,"adventure, comedy, family, fantasy"
542,17585,Surviving the Game,"action, adventure, thriller, crime"
543,9057,Terminal Velocity,"action, thriller"
544,20967,Thirty Two Short Films About Glenn Gould,"drama, music"
545,10635,Threesome,"comedy, drama, family, romance"
546,9479,The Nightmare Before Christmas,"fantasy, animation, family"
547,10057,The Three Musketeers,"action, adventure, comedy"
548,11969,Tombstone,"action, adventure, drama, history, western"
549,41590,Trial by Jury,"drama, action, thriller"
550,319,True Romance,"action, thriller, crime, romance"
551,26408,The War Room,"documentary, history"
552,15139,The Pagemaster,"fantasy, science fiction, family, animation"
553,161158,"Paris, France","drama, comedy"
554,218473,"The Beans of Egypt, Maine",
555,85247,Killer,"thriller, drama, romance"
556,11446,Welcome to the Dollhouse,"comedy, drama"
557,51980,Germinal,"drama, romance"
558,24405,Chasers,"comedy, romance"
559,11655,Cronos,"drama, horror, thriller"
560,11800,Naked in New York,"comedy, romance"
561,8223,Kika,"comedy, drama"
562,14587,Bhaji on the Beach,"comedy, drama"
563,31504,Little Big League,"comedy, family"
564,41653,The Slingshot,drama
565,53185,Wide Eyed and Legless,"tv movie, drama, romance, comedy"
566,95743,Foreign Student,"drama, romance"
567,23637,"Ciao, Professore!","comedy, foreign"
568,17600,Spanking the Monkey,"comedy, drama"
569,10897,The Little Rascals,"romance, comedy, family"
570,349394,À la mode,comedy
571,21352,Andre,"drama, family, adventure"
572,68806,The Escort,"thriller, crime, drama"
573,37345,Princess Caraboo,"comedy, drama, history, mystery"
574,32562,The Celluloid Closet,"history, documentary"
575,47507,Café au Lait,"drama, comedy, romance, foreign"
576,25403,Dear Diary,"comedy, drama"
577,124304,I Don't Want to Talk About It,"romance, drama"
578,9066,The Brady Bunch Movie,comedy
579,771,Home Alone,"comedy, family"
580,251,Ghost,"fantasy, drama, thriller, mystery, romance"
581,812,Aladdin,"animation, family, comedy, adventure, fantasy, romance"
582,280,Terminator 2: Judgment Day,"action, thriller, science fiction"
583,581,Dances with Wolves,"adventure, drama, western"
584,80350,Tough and Deadly,"thriller, action, drama"
585,268,Batman,"fantasy, action"
586,274,The Silence of the Lambs,"crime, drama, thriller"
587,408,Snow White and the Seven Dwarfs,"fantasy, animation, family"
588,10020,Beauty and the Beast,"romance, family, animation, fantasy, music"
589,10895,Pinocchio,"animation, family"
590,114,Pretty Woman,"romance, comedy"
591,41043,Window to Paris,"comedy, drama, fantasy"
592,576,The Wild Bunch,"adventure, western"
593,15477,Love and a .45,"crime, thriller"
594,59146,The Wooden Man's Bride,"drama, foreign, romance"
595,124472,A Great Day in Harlem,
596,30528,Bye Bye Love,"comedy, romance"
597,7300,One Fine Day,"comedy, romance"
598,10824,Candyman: Farewell to the Flesh,horror
599,261246,Century,"romance, drama"
600,275,Fargo,"crime, drama, thriller"
601,25059,Homeward Bound II: Lost in San Francisco,"adventure, comedy, drama, family"
602,11827,Heavy Metal,"animation, science fiction"
603,8766,Hellraiser: Bloodline,"horror, thriller, science fiction"
604,23570,The Pallbearer,"comedy, romance"
605,47333,Jane Eyre,"drama, romance"
